RIL.SET,Plate.ID,Genotype,GermTrt,Rep,Dormancy,Total.Seeds,Germs.4wks
Italy x Swe,ISL206_O1,ISL_206,Optimal,1,ND,20,20
Italy x Swe,ISL264_O1,ISL_264,Optimal,1,ND,20,20
Italy x Swe,ISL640_O1,ISL_640,Optimal,1,ND,20,17
Italy x Swe,ISL356_O1,ISL_356,Optimal,1,ND,20,15
Italy x Swe,ISL227_O1,ISL_227,Optimal,1,ND,20,16
Italy x Swe,ISL383_O1,ISL_383,Optimal,1,ND,20,14
Italy x Swe,ISL124_O1,ISL_124,Optimal,1,ND,20,15
Italy x Swe,ISL397_O1,ISL_397,Optimal,1,ND,20,20
Italy x Swe,ISL485_O1,ISL_485,Optimal,1,ND,20,18
Italy x Swe,ISL647_O1,ISL_647,Optimal,1,ND,20,20
Italy x Swe,ISL393_O1,ISL_393,Optimal,1,ND,20,18
Italy x Swe,ISL75_O1,ISL_75,Optimal,1,ND,20,19
Italy x Swe,ISL230_O1,ISL_230,Optimal,1,ND,20,19
Italy x Swe,ISL550_O1,ISL_550,Optimal,1,ND,20,20
Italy x Swe,IS358X_O1,IS-358_CROSS,Optimal,1,ND,20,19
Italy x Swe,ISL25_O1,ISL_25,Optimal,1,ND,20,19
Italy x Swe,ISL67_O1,ISL_67,Optimal,1,ND,20,20
Italy x Swe,ISL574_O1,ISL_574,Optimal,1,ND,20,20
Italy x Swe,ISL108_O1,ISL_108,Optimal,1,ND,20,20
Italy x Swe,ISL385_O1,ISL_385,Optimal,1,ND,20,20
Italy x Swe,ISL681_O1,ISL_681,Optimal,1,ND,20,20
Bay x Sha,BS-156X_A2,BS-156_CROSS,Above,2,D,20,7
Bay x Sha,BS-156X_C3,BS-156_CROSS,Cold,3,D,20,2
Bay x Sha,BS-156X_A1,BS-156_CROSS,Above,1,D,20,10
Bay x Sha,BS-156X_C1,BS-156_CROSS,Cold,1,D,20,7
Bay x Sha,BS-156X_O1,BS-156_CROSS,Optimal,1,D,21,10
Bay x Sha,BS-156X_C2,BS-156_CROSS,Cold,2,D,21,1
Bay x Sha,BS-156X_O2,BS-156_CROSS,Optimal,2,D,20,5
Bay x Sha,BS-156X_O3,BS-156_CROSS,Optimal,3,D,20,4
