PopId,Block,RILSet,Dormancy,Envt,sumY1Total,Y1Germ,sumY1Rep,Y1Rep,sumy2Total,y2Germ,sumy2Rep,y2Rep,sumy3Total,y3Germ,Y1Persistence,Y2Persistence,Y3Resurrection
L_12,8,UK x USA,Dormant,Control,11,Established,3,Persisted,431,Established,0,Disappeared,30,Established,Established and Persisted,Persisted then Disappeared,Reappeared
L_13,8,Germany x Tajikistan,Dormant,Control,71,Established,15,Persisted,131,Established,0,Disappeared,235,Established,Established and Persisted,Persisted then Disappeared,Reappeared
M_1,7,Italy x Sweden,Non-Dormant,Native Soil,72,Established,25,Persisted,115,Established,0,Disappeared,79,Established,Established and Persisted,Persisted then Disappeared,Reappeared
M_2,7,Germany x Tajikistan,Dormant,Control,3,Established,0,Disappeared,36,Established,0,Disappeared,0,Never Established,Established then Disappeared,Reappeared then Disappeared,Disappeared
M_3,7,Germany x Tajikistan,Non-Dormant,Straw Litter,0,Never Established,0,Disappeared,75,Established,0,Disappeared,NA,NA,Never Established,Newly Established then Disappeared,NA
M_4,7,Germany x Tajikistan,Non-Dormant,Control,0,Never Established,0,Disappeared,74,Established,0,Disappeared,0,Never Established,Never Established,Newly Established then Disappeared,Disappeared
M_5,7,Italy x Sweden,Non-Dormant,Control,0,Never Established,0,Disappeared,105,Established,0,Disappeared,1,Established,Never Established,Newly Established then Disappeared,Reappeared
M_6,7,Italy x Sweden,Mixed,Control,98,Established,29,Persisted,42,Established,2,Persisted,908,Established,Established and Persisted,Persisted,Persisted
M_8,8,UK x USA,Mixed,Control,87,Established,49,Persisted,358,Established,28,Persisted,1635,Established,Established and Persisted,Persisted,Persisted
M_9,8,Italy x Sweden,Mixed,Control,176,Established,58,Persisted,104,Established,24,Persisted,1399,Established,Established and Persisted,Persisted,Persisted
M_10,8,Germany x Tajikistan,Non-Dormant,Straw Litter,22,Established,11,Persisted,26,Established,0,Disappeared,NA,NA,Established and Persisted,Persisted then Disappeared,NA
M_11,8,Italy x Sweden,Mixed,Straw Litter,35,Established,1,Persisted,57,Established,0,Disappeared,265,Established,Established and Persisted,Persisted then Disappeared,Reappeared
M_12,8,Italy x Sweden,Non-Dormant,Native Soil,70,Established,44,Persisted,77,Established,4,Persisted,0,Never Established,Established and Persisted,Persisted,Disappeared
M_13,8,Italy x Sweden,Mixed,Native Soil,206,Established,108,Persisted,74,Established,18,Persisted,81,Established,Established and Persisted,Persisted,Persisted
